x	y	cluster
-0.54	-8.27	1
23.89	6.14	0
29.98	8.01	0
-0.76	-18.78	5
-9.15	-0.4	1
-1.35	-5.6	1
-15.79	-6.11	3
-21.91	-10.79	3
4.83	-1.62	1
-7.52	-21.25	3
-18.63	7.69	2
-3.59	-9.02	1
28.12	9.99	0
1.0	-17.33	5
-4.19	-12.91	3
16.37	1.76	0
-23.35	13.53	2
-2.6	7.39	1
-5.25	-17.64	5
-12.11	8.86	2
-4.56	-13.07	3
3.13	24.09	4
-1.69	1.99	1
-10.98	-5.38	3
-30.26	0.15	2
23.46	11.09	0
-9.57	16.11	2
9.36	0.9	1
-4.62	-18.5	5
2.73	-10.01	5
-20.59	13.9	2
8.28	24.39	4
6.71	-17.12	5
-8.55	0.14	1
-25.85	5.91	2
20.53	17.86	0
-12.56	6.13	2
10.84	2.77	0
-8.85	-17.23	3
1.67	-13.35	5
-21.33	11.62	2
5.24	27.91	4
-2.59	7.19	1
-10.11	-5.57	3
-21.23	6.16	2
18.37	7.27	0
2.01	4.56	1
10.99	8.74	0
-12.69	-18.4	3
2.82	-13.78	5
-20.16	13.43	2
-2.77	28.99	4
-19.35	13.02	2
-4.96	5.04	1
1.33	4.05	1
11.99	8.99	0
-6.08	-4.37	1
9.34	13.65	4
-14.12	11.25	2
-1.52	-14.96	5
-11.74	11.06	2
2.82	-14.03	5
24.55	12.46	0
10.28	-23.55	5
-9.12	-13.02	3
-12.69	-16.02	3
-26.63	4.97	2
-4.09	6.49	1
5.68	-26.88	5
6.45	26.14	4
6.5	25.29	4
-17.76	-0.41	2
-15.16	8.48	2
-10.05	-19.16	3
-0.75	-13.32	5
-12.35	0.92	2
-0.65	24.62	4
1.98	1.71	1
-15.17	1.68	2
16.85	11.89	0
-18.12	-2.92	3
-24.28	6.21	2
-6.33	-19.13	3
-25.5	9.14	2
-28.37	12.04	2
23.41	10.74	0
13.1	11.17	0
13.69	11.25	0
14.91	11.22	0
29.48	6.67	0
-14.78	10.94	2
4.11	-24.45	5
-0.41	13.56	4
5.01	20.33	4
-19.4	13.32	2
8.89	7.57	0
-17.65	-7.71	3
3.03	-6.7	1
-12.68	10.82	2
-1.42	22.16	4
-0.91	22.74	4
4.37	-7.78	5
-8.38	-20.51	3
13.84	4.31	0
-25.11	2.19	2
-10.27	-5.22	3
1.41	-19.97	5
-1.48	-18.48	5
24.75	10.31	0
16.7	4.73	0
-21.81	-8.95	3
2.58	-25.34	5
-23.67	3.35	2
-19.65	13.87	2
7.69	-23.18	5
0.03	-15.41	5
11.78	1.81	0
-6.69	-16.44	3
21.0	13.26	0
-22.6	9.35	2
10.78	-21.91	5
28.84	2.01	0
5.2	26.77	4
10.49	-3.53	1
-26.4	1.39	2
11.43	7.66	0
-18.1	10.85	2
10.42	14.49	4
11.17	-17.89	5
-2.78	-17.48	5
-1.91	-7.3	1
25.2	11.24	0
26.46	11.21	0
0.68	-15.0	5
-13.68	5.59	2
-7.86	-12.76	3
-14.1	-2.61	3
-14.63	-2.81	3
-1.02	13.6	4
-6.66	-18.24	3
-18.88	7.51	2
-11.39	-2.44	3
25.37	9.05	0
4.92	-18.1	5
3.67	-10.91	5
28.63	9.73	0
-10.09	10.81	2
9.25	16.64	4
-3.45	-11.68	5
-7.3	19.96	4
-4.9	-1.39	1
-9.77	-4.82	3
-17.7	5.22	2
18.09	-2.96	0
-12.53	7.07	2
11.7	18.57	4
5.86	-10.89	5
-12.49	4.09	2
-21.45	10.39	2
-3.65	19.2	4
-5.53	4.69	1
-6.51	-4.7	1
-21.39	7.4	2
25.79	-0.54	0
-13.06	12.9	2
9.79	19.85	4
1.69	-10.39	5
-8.0	-0.23	1
-22.96	10.75	2
-1.4	18.15	4
-3.12	-0.83	1
-13.31	-7.33	3
-18.58	1.02	2
25.03	-3.71	0
-8.58	15.24	2
11.26	19.75	4
2.47	-12.9	5
-8.45	0.66	1
-22.17	10.81	2
-0.57	20.74	4
-24.54	13.51	2
-13.94	13.53	2
-13.9	11.85	2
13.18	15.77	4
-8.07	12.23	2
-1.8	21.57	4
-20.6	11.82	2
-4.08	4.62	1
-22.38	13.24	2
-7.09	2.58	1
26.69	0.67	0
-5.13	10.35	2
-3.03	-14.84	5
5.51	-9.54	5
-21.46	3.32	2
-16.68	14.04	2
-6.8	10.71	2
-1.69	22.72	4
-3.8	20.32	4
-15.39	-12.41	3
-12.89	-8.24	3
6.31	-11.25	5
4.22	5.1	1
-13.47	-9.54	3
-5.3	28.62	4
-7.62	10.5	2
-11.38	-11.1	3
10.54	24.78	4
-18.39	3.11	2
-20.05	6.6	2
-0.87	-16.79	5
-23.22	5.12	2
-27.88	5.62	2
23.64	-2.23	0
16.24	16.12	4
10.62	20.21	4
17.13	15.54	0
25.74	-2.53	0
-21.73	13.25	2
-7.34	10.46	2
-6.4	11.72	2
-5.74	24.32	4
-24.93	11.08	2
-3.84	11.02	4
-11.62	-10.73	3
-7.09	0.17	1
-14.39	-9.69	3
-6.61	26.98	4
-0.99	20.7	4
-7.72	14.1	2
-4.61	-11.19	3
14.46	20.7	4
-20.51	3.26	2
-6.52	-1.13	1
-8.57	-0.26	1
-1.5	-13.59	5
26.75	0.98	0
14.13	17.98	4
-22.02	1.0	2
-2.98	0.18	1
-21.33	6.35	2
-19.08	13.22	2
-7.35	6.21	1
-2.35	-11.73	5
14.67	18.66	4
-5.71	-0.94	1
25.1	-4.11	0
-19.42	7.94	2
-5.26	14.22	4
24.41	-4.99	0
-2.48	22.92	4
-14.62	10.85	2
-21.72	0.53	2
17.03	17.17	4
-24.31	10.63	2
18.41	13.48	0
-7.61	4.41	1
1.72	-8.33	1
-14.86	12.21	2
26.75	0.03	0
18.59	-7.4	0
-0.41	-13.05	5
-16.89	-11.11	3
-0.8	2.14	1
-18.47	-8.4	3
-11.1	-10.62	3
-5.3	11.87	2
2.42	-10.43	5
-22.86	13.27	2
-8.68	4.61	2
27.01	-2.3	0
1.34	-1.46	1
-3.42	-8.75	1
27.52	-5.5	0
-16.72	4.56	2
-3.36	19.45	4
2.93	-7.63	1
-20.1	9.39	2
-0.24	-3.71	1
6.66	23.74	4
9.92	-23.71	5
-4.94	-6.35	1
-16.63	-6.7	3
22.25	-1.44	0
3.34	-8.73	5
6.59	-4.52	1
-7.21	-18.74	3
9.87	-5.57	5
0.52	3.32	1
6.62	23.5	4
9.36	-18.77	5
-3.94	2.86	1
-17.57	-5.4	3
24.08	-0.52	0
12.43	-7.51	5
15.3	4.41	0
-8.69	-5.34	3
7.61	19.01	4
17.28	-14.21	5
-4.52	-6.71	1
-23.25	-6.53	3
20.52	-2.14	0
-0.02	-11.06	5
19.13	-4.64	0
-8.08	-21.42	3
2.48	-5.39	1
-5.76	-1.13	1
20.09	4.6	0
-4.11	0.8	1
-3.14	-19.95	5
0.69	-7.61	1
17.24	7.28	0
7.72	-10.17	5
4.03	25.08	4
0.9	-11.69	5
15.11	-6.61	0
-7.25	-18.94	3
3.85	0.41	1
27.29	1.18	0
6.14	-25.56	5
0.18	-17.89	5
-3.23	-14.72	5
-16.51	-25.26	3
1.54	0.46	1
9.22	-23.03	5
15.82	13.03	0
0.44	13.8	4
-7.06	11.36	2
-16.67	-11.01	3
6.39	-8.02	5
2.66	-9.69	5
-4.74	3.02	1
10.61	19.71	4
16.21	-20.22	5
-10.23	-5.03	3
15.88	2.38	0
-12.0	-21.52	3
-13.51	-27.49	3
-7.09	-16.89	3
-7.52	-20.73	3
-13.93	-19.16	3
16.13	-6.3	0
21.32	6.96	0
21.93	1.5	0
17.3	6.92	0
-7.07	-17.96	3
-0.94	-2.17	1
14.35	-22.45	5
1.73	-12.9	5
17.36	15.23	0
-18.15	12.08	2
7.93	-5.84	1
-8.89	-1.01	1
2.61	-7.8	1
2.38	28.8	4
10.42	-22.7	5
0.01	-17.88	5
15.61	6.38	0
-22.66	-9.37	3
-9.16	-9.15	3
4.72	-22.46	5
1.54	-14.14	5
-1.21	-17.01	5
14.4	1.86	0
-16.81	-2.5	3
7.4	-26.31	5
-13.61	-5.15	3
0.4	-13.46	5
8.78	-25.8	5
-9.18	-15.88	3
19.19	6.84	0
7.79	-0.91	1
28.29	4.32	0
-20.62	-5.4	3
6.25	-26.51	5
26.28	-3.04	0
11.19	20.79	4
4.57	-11.49	5
-19.68	-0.11	2
17.87	-1.83	0
-18.95	12.72	2
21.16	-1.82	0
5.07	-24.19	5
8.59	-18.3	5
-0.54	-16.53	5
23.75	0.14	0
16.48	-9.76	5
4.51	-19.19	5
-2.71	-6.87	1
-14.61	-2.62	3
9.91	-6.09	5
-2.21	-13.3	5
-12.42	0.79	2
8.81	-11.41	5
-7.77	-13.98	3
26.68	0.75	0
-1.78	-15.46	5
2.6	20.95	4
8.81	-9.23	5
0.51	-15.78	5
9.61	-11.49	5
-2.48	21.23	4
10.91	-9.2	5
-12.85	-8.22	3
-6.46	2.18	1
14.14	-2.88	0
-5.71	8.73	1
20.42	11.35	0
-3.04	-21.77	5
-10.38	-3.25	3
-22.16	12.47	2
0.02	23.56	4
16.23	-17.06	5
-0.99	-10.68	5
-8.23	-13.92	3
29.1	4.46	0
1.28	3.2	1
15.97	15.21	0
8.7	-13.27	5
-0.78	-9.77	5
-19.5	12.57	2
2.38	20.72	4
11.68	-10.29	5
-7.95	-10.93	3
-4.73	-4.67	1
27.79	5.31	0
8.08	8.66	4
21.57	12.57	0
-0.02	-23.1	5
-5.24	-0.78	1
-16.8	12.32	2
-0.03	23.81	4
-16.53	11.99	2
2.92	1.7	1
1.12	1.28	1
16.06	16.05	4
-2.62	-2.63	1
10.33	20.23	4
-21.67	7.92	2
0.44	5.28	1
-23.12	12.82	2
-0.62	-9.24	1
27.1	2.17	0
9.02	-12.33	5
4.67	-14.44	5
3.76	-15.9	5
-3.79	-21.45	5
2.16	4.79	1
10.69	-20.31	5
1.03	18.43	4
3.49	23.12	4
-5.89	3.23	1
-11.2	-9.87	3
4.5	-18.1	5
-6.77	-11.75	3
-7.07	-2.69	1
9.58	10.59	4
10.31	-16.03	5
-4.26	-2.71	1
19.62	13.14	0
-8.88	-11.84	3
-4.95	-15.45	3
4.25	-17.29	5
-0.03	7.84	1
-7.99	-15.35	3
29.0	-0.24	0
20.81	7.68	0
17.61	11.9	0
13.14	21.84	4
25.16	0.2	0
-18.07	15.33	2
10.23	-18.49	5
-3.69	5.37	1
1.81	16.89	4
-20.01	10.25	2
6.72	12.07	4
-10.19	-13.09	3
-0.17	-1.5	1
-14.56	-9.79	3
4.1	18.32	4
-1.46	18.03	4
12.8	-11.29	5
11.01	-15.77	5
22.85	10.05	0
-15.48	-16.06	3
-9.52	-8.61	3
1.9	-18.38	5
12.67	-18.98	5
23.61	6.09	0
24.11	6.09	0
-19.84	-7.85	3
4.53	-22.65	5
-10.96	-1.07	3
-19.15	12.69	2
17.16	-14.91	5
-0.63	-20.8	5
17.55	14.48	0
0.19	-12.03	5
28.44	12.25	0
-1.46	-3.69	1
12.56	-13.14	5
23.6	3.41	0
10.04	17.0	4
-8.39	12.77	2
-18.68	-3.66	3
24.44	0.58	0
-19.23	5.13	2
15.89	17.01	4
10.5	-14.14	5
-3.12	-23.71	5
-0.92	10.03	4
20.23	2.37	0
26.8	2.23	0
3.35	-19.37	5
-10.18	-10.06	3
0.3	-0.5	1
-6.85	-11.77	3
-7.87	-7.6	3
1.58	11.49	4
3.89	-18.75	5
-16.65	7.94	2
-3.97	14.03	4
28.18	7.78	0
3.55	-17.97	5
0.13	-18.65	5
31.7	2.78	0
-14.61	13.34	2
6.46	20.57	4
10.8	-6.96	5
-4.87	12.42	4
-0.34	6.37	1
